Export:,Graph,,,
File:,weight-shift1,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
276,2026-03-27,09:17:53,199.303032,84.05951
277,2026-03-27,09:17:53,188.15918,90.990097
278,2026-03-27,09:17:53,175.111041,100.699413
279,2026-03-27,09:17:53,162.182142,105.516134
280,2026-03-27,09:17:53,148.432996,112.822516
281,2026-03-27,09:17:53,135.001824,122.253598
282,2026-03-27,09:17:53,123.008812,137.000058
283,2026-03-27,09:17:53,112.681591,166.377344
284,2026-03-27,09:17:53,101.732861,195.606486
285,2026-03-27,09:17:53,88.449843,215.231085
286,2026-03-27,09:17:53,76.995236,225.110248
287,2026-03-27,09:17:53,63.419531,230.736381
288,2026-03-27,09:17:53,53.721049,237.403182
289,2026-03-27,09:17:53,44.485093,251.148713
290,2026-03-27,09:17:53,33.417116,261.136273
291,2026-03-27,09:17:53,23.819814,267.221304
292,2026-03-27,09:17:53,15.252341,277.20525
293,2026-03-27,09:17:53,12.567553,289.248846
294,2026-03-27,09:17:53,7.917052,299.955468
295,2026-03-27,09:17:53,3.158149,308.587981
296,2026-03-27,09:17:53,2.392099,315.764281
297,2026-03-27,09:17:53,1.185209,323.399481
298,2026-03-27,09:17:53,0.982856,334.106137
299,2026-03-27,09:17:53,0.982856,340.523601
300,2026-03-27,09:17:53,0.982856,346.659216
301,2026-03-27,09:17:53,0.982856,354.467869
302,2026-03-27,09:17:53,0.982856,361.062417
303,2026-03-27,09:17:53,0,367.158292
304,2026-03-27,09:17:53,0,368.80961
305,2026-03-27,09:17:53,0,372.455589
306,2026-03-27,09:17:53,0,373.066256
307,2026-03-27,09:17:53,0,376.8676
308,2026-03-27,09:17:53,0,377.41684
309,2026-03-27,09:17:53,0,382.537087
310,2026-03-27,09:17:53,0,382.034816
311,2026-03-27,09:17:53,0,385.225493
312,2026-03-27,09:17:53,0,389.57248
313,2026-03-27,09:17:53,0,391.505647
314,2026-03-27,09:17:53,0,394.858918
315,2026-03-27,09:17:53,0,400.156249
316,2026-03-27,09:17:53,0,399.513037
317,2026-03-27,09:17:53,0,404.243039
318,2026-03-27,09:17:53,0,406.692969
319,2026-03-27,09:17:53,0,409.048926
320,2026-03-27,09:17:53,0,410.414798
321,2026-03-27,09:17:53,0,411.188092
