Export:,Graph,,,
File:,walk,,,
Units:,N/cm²,,,
Graphed Value:,Peak Pressure,,,
Frame,Date,Time,Left Insole,Right Insole
291,2026-03-27,09:20:50,13.29126,0.842992
292,2026-03-27,09:20:50,13.587519,0.842992
293,2026-03-27,09:20:50,13.587519,0.694862
294,2026-03-27,09:20:50,13.587519,0.694862
295,2026-03-27,09:20:50,13.587519,0.694862
296,2026-03-27,09:20:50,13.587519,0.694862
297,2026-03-27,09:20:50,13.587519,0.694862
298,2026-03-27,09:20:50,13.29126,0.694862
299,2026-03-27,09:20:50,13.29126,0.694862
300,2026-03-27,09:20:50,13.29126,0.694862
301,2026-03-27,09:20:50,13.000388,0.694862
302,2026-03-27,09:20:50,12.973455,0.694862
303,2026-03-27,09:20:50,12.706822,0.694862
304,2026-03-27,09:20:50,12.677196,0.694862
305,2026-03-27,09:20:50,12.380937,0.694862
306,2026-03-27,09:20:50,12.081985,0.694862
307,2026-03-27,09:20:50,11.828818,0
308,2026-03-27,09:20:50,11.788419,0
309,2026-03-27,09:20:50,11.489466,0
310,2026-03-27,09:20:50,11.193207,0
311,2026-03-27,09:20:50,10.896948,0
312,2026-03-27,09:20:50,10.896948,0
313,2026-03-27,09:20:50,10.600689,0
314,2026-03-27,09:20:50,10.309817,0
315,2026-03-27,09:20:50,10.309817,0
316,2026-03-27,09:20:50,10.086276,0
317,2026-03-27,09:20:50,9.860041,0
318,2026-03-27,09:20:50,9.860041,0
319,2026-03-27,09:20:50,9.631114,0
320,2026-03-27,09:20:50,9.631114,0
321,2026-03-27,09:20:50,9.447972,0
322,2026-03-27,09:20:50,9.447972,0
323,2026-03-27,09:20:50,9.40488,0
324,2026-03-27,09:20:50,9.219044,0
325,2026-03-27,09:20:50,9.175952,0
326,2026-03-27,09:20:50,8.99281,0
327,2026-03-27,09:20:50,8.763883,0
328,2026-03-27,09:20:50,8.591514,0
329,2026-03-27,09:20:50,8.483783,0
330,2026-03-27,09:20:50,8.376053,0
331,2026-03-27,09:20:50,8.359893,0
332,2026-03-27,09:20:50,8.359893,0
333,2026-03-27,09:20:50,8.359893,0
334,2026-03-27,09:20:50,8.130966,0
335,2026-03-27,09:20:50,8.130966,0
336,2026-03-27,09:20:50,8.128272,0
337,2026-03-27,09:20:50,8.128272,0
338,2026-03-27,09:20:50,7.904731,0
339,2026-03-27,09:20:50,7.896652,0
340,2026-03-27,09:20:50,7.678497,0
341,2026-03-27,09:20:50,7.665031,0
342,2026-03-27,09:20:50,7.43341,0
343,2026-03-27,09:20:50,7.201789,0
344,2026-03-27,09:20:50,7.201789,0
345,2026-03-27,09:20:50,6.970169,0
346,2026-03-27,09:20:50,6.757401,0
347,2026-03-27,09:20:50,6.757401,0
348,2026-03-27,09:20:50,6.552713,0
349,2026-03-27,09:20:50,6.636204,1.176957
350,2026-03-27,09:20:50,6.90553,2.318901
351,2026-03-27,09:20:50,7.842786,3.336955
352,2026-03-27,09:20:50,8.308721,3.878301
353,2026-03-27,09:20:50,9.011663,4.284984
354,2026-03-27,09:20:50,9.714605,4.893662
355,2026-03-27,09:20:50,10.439093,5.502339
356,2026-03-27,09:20:50,11.645676,6.111017
357,2026-03-27,09:20:50,12.852258,6.5177
358,2026-03-27,09:20:51,13.759888,6.722388
359,2026-03-27,09:20:51,14.969164,7.166777
360,2026-03-27,09:20:51,16.17844,7.638098
361,2026-03-27,09:20:51,17.463127,8.34912
362,2026-03-27,09:20:51,18.812453,9.66882
363,2026-03-27,09:20:51,20.611553,11.276699
364,2026-03-27,09:20:51,22.410654,12.300139
365,2026-03-27,09:20:51,23.765366,12.806473
366,2026-03-27,09:20:51,25.111998,12.906124
367,2026-03-27,09:20:51,26.46671,12.906124
368,2026-03-27,09:20:51,27.363567,13.213156
369,2026-03-27,09:20:51,28.265811,13.514801
370,2026-03-27,09:20:51,29.170748,13.81914
371,2026-03-27,09:20:51,29.61783,14.123479
372,2026-03-27,09:20:51,30.070298,14.123479
373,2026-03-27,09:20:51,30.52546,14.427818
374,2026-03-27,09:20:51,31.333439,14.427818
375,2026-03-27,09:20:51,31.788601,14.427818
376,2026-03-27,09:20:51,32.704311,14.427818
377,2026-03-27,09:20:51,33.159473,14.427818
378,2026-03-27,09:20:51,33.159473,14.427818
379,2026-03-27,09:20:51,34.072489,14.123479
380,2026-03-27,09:20:51,34.072489,14.123479
381,2026-03-27,09:20:51,34.55189,13.81914
382,2026-03-27,09:20:51,34.55189,13.514801
383,2026-03-27,09:20:51,34.55189,13.514801
384,2026-03-27,09:20:51,34.072489,13.213156
385,2026-03-27,09:20:51,33.159473,12.790313
386,2026-03-27,09:20:51,31.333439,12.488668
387,2026-03-27,09:20:51,28.139228,12.189715
388,2026-03-27,09:20:51,23.579531,12.189715
