Export:,Graph,,,
File:,walk,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
371,2026-03-27,09:20:51,445.060476,380.098018
372,2026-03-27,09:20:51,443.373014,390.999779
373,2026-03-27,09:20:51,439.217569,399.990025
374,2026-03-27,09:20:51,433.378226,409.092297
375,2026-03-27,09:20:51,423.481008,416.861176
376,2026-03-27,09:20:51,414.693129,424.817999
377,2026-03-27,09:20:51,401.449835,429.909331
378,2026-03-27,09:20:51,387.993381,434.353854
379,2026-03-27,09:20:51,373.532384,439.069399
380,2026-03-27,09:20:51,356.270988,441.367561
381,2026-03-27,09:20:51,335.085362,441.952945
382,2026-03-27,09:20:51,314.875397,440.370248
383,2026-03-27,09:20:51,292.587659,443.300728
384,2026-03-27,09:20:51,271.373152,437.248225
385,2026-03-27,09:20:51,248.315768,435.629419
386,2026-03-27,09:20:51,224.022594,430.577827
387,2026-03-27,09:20:51,197.160269,421.757403
388,2026-03-27,09:20:51,167.642049,416.311936
389,2026-03-27,09:20:51,141.159134,411.618076
390,2026-03-27,09:20:51,120.089149,406.053387
391,2026-03-27,09:20:51,98.639754,399.747916
392,2026-03-27,09:20:51,83.30069,393.930293
393,2026-03-27,09:20:51,73.085488,392.369282
394,2026-03-27,09:20:51,63.003982,387.498338
395,2026-03-27,09:20:51,50.599035,385.28692
396,2026-03-27,09:20:51,33.680897,380.31844
397,2026-03-27,09:20:51,11.143856,379.032049
398,2026-03-27,09:20:51,4.209661,376.141309
399,2026-03-27,09:20:51,0.982856,371.794322
400,2026-03-27,09:20:51,1.185209,369.358884
401,2026-03-27,09:20:51,1.387562,365.604509
402,2026-03-27,09:20:51,1.387562,366.15375
403,2026-03-27,09:20:51,2.446301,362.215096
404,2026-03-27,09:20:51,2.648653,362.218693
405,2026-03-27,09:20:51,2.843779,361.333406
406,2026-03-27,09:20:51,2.843779,361.954933
407,2026-03-27,09:20:51,2.843779,366.890901
408,2026-03-27,09:20:51,2.843779,368.852982
409,2026-03-27,09:20:51,2.843779,374.059972
410,2026-03-27,09:20:51,2.648653,374.222566
411,2026-03-27,09:20:51,2.446301,377.471038
412,2026-03-27,09:20:51,2.446301,380.188359
413,2026-03-27,09:20:51,2.243948,381.861363
414,2026-03-27,09:20:51,0.982856,381.026677
415,2026-03-27,09:20:51,0.982856,384.990614
416,2026-03-27,09:20:51,0,386.450458
417,2026-03-27,09:20:51,0,384.340207
