sample,right_foot,left_foot
795,267.24,290.06
796,267.2,290.15
797,267.33,290.47
798,267.47,290.46
799,266.57,289.65
800,266.57,290.11
801,267.06,290.06
802,266.97,289.97
803,267.02,290.02
804,266.93,290.1
805,266.88,289.79
806,267.56,290.15
807,267.02,290.42
808,266.75,290.06
809,267.02,290.33
810,267.16,289.96
811,266.93,290.1
812,267.2,290.1
813,266.93,290.51
814,266.93,290.19
815,267.2,290.15
816,267.15,290.19
817,266.88,290.19
818,267.2,290.01
819,267.11,290.19
820,267.25,290.6
821,266.8,290.24
822,267.02,289.88
823,267.11,289.97
824,267.11,290.1
825,267.42,289.87
826,266.84,290.15
827,267.06,290.15
828,266.89,290.19
829,266.84,289.87
830,267.11,290.14
831,267.07,290.23
832,267.02,290.23
833,266.88,290.46
834,266.74,290.37
835,266.43,290.33
836,266.98,290.24
837,267.02,290.15
838,267.2,290.46
839,266.93,290.1
840,267.07,289.88
841,266.75,289.92
842,267.11,290.33
843,267.24,290.46
844,267.02,290.01
845,266.88,289.87
846,267.34,290.01
847,267.07,290.1
848,266.93,290.14
849,266.75,290.01
850,266.93,289.92
851,266.88,290.05
852,267.07,290.19
853,266.88,290.24
854,266.57,289.92
855,266.7,289.78
856,266.7,290.51
857,266.7,290.46
858,266.52,289.92
859,266.79,289.7
860,266.43,290.14
861,266.88,290.24
862,266.75,290.55
863,266.39,290.33
864,266.79,290.32
865,266.75,289.92
866,266.66,290.33
867,267.06,289.96
868,266.75,290.05
869,266.8,290.05
870,266.79,290.32
871,266.89,290.32
872,266.75,290.19
873,266.93,290.1
874,266.57,290.42
875,266.48,290.46
876,266.75,290.41
877,266.7,290.41
878,267.02,290.14
879,267.15,290.73
880,266.93,290.24
881,266.29,290.42
882,266.66,290.01
883,267.06,290.6
884,267.02,290.46
885,267.11,290.1
886,266.65,290.14
887,266.56,290.55
888,266.84,290.5
889,266.88,290.68
890,266.79,290.6
891,266.66,290.5
892,266.74,290.91
893,266.75,291.18
894,266.57,290.78
895,266.48,290.96
896,266.52,290.73
897,266.66,290.64
898,266.79,290.78
899,266.57,290.46
900,266.84,290.6
901,266.84,290.46
902,266.7,291.37
903,266.57,290.87
904,266.65,290.68
905,266.84,290.37
906,266.7,290.87
907,266.75,290.82
908,266.79,290.82
909,266.38,290.55
910,266.47,290.96
911,266.52,291.14
912,266.48,290.82
913,266.75,291.45
914,267.02,291.23
915,266.34,291.14
916,266.84,290.87
917,267.06,290.82
918,266.7,290.87
919,266.79,290.91
920,266.48,291.23
921,266.57,290.46
922,266.93,291.09
923,266.57,290.51
924,266.34,290.82
925,266.2,290.77
926,266.47,291.13
927,266.52,290.91
928,266.66,290.87
929,266.57,290.64
930,266.25,290.46
931,266.43,290.96
932,266.79,291.36
933,266.29,291.14
934,266.48,290.87
935,266.43,290.78
936,266.79,290.91
937,266.7,290.5
938,266.47,291.14
939,266.34,291.09
940,266.39,290.87
941,266.43,291.09
942,266.16,290.91
943,266.48,291.0
944,266.43,291.13
945,266.2,291.22
946,266.25,290.87
947,266.11,291.0
948,266.07,291.14
949,266.07,290.77
950,266.66,290.64
951,266.3,291.41
952,266.34,291.09
953,266.15,290.96
954,266.07,291.0
955,265.93,291.45
956,266.25,291.14
957,266.34,291.23
958,266.16,291.09
959,266.43,291.27
960,266.11,291.18
961,265.71,291.36
962,265.98,291.54
963,265.93,290.87
964,265.93,290.91
965,266.29,290.96
966,266.29,291.22
967,266.34,291.0
968,266.34,291.36
969,266.07,291.23
970,266.25,291.09
971,266.43,291.27
972,266.29,291.32
973,265.93,291.32
974,265.84,290.96
975,266.02,291.59
976,266.25,291.27
977,266.34,291.09
978,266.11,290.91
979,266.3,291.32
980,266.06,291.54
981,266.2,291.41
982,266.47,291.37
983,265.52,291.59
984,266.02,291.27
985,266.02,291.36
986,265.66,291.36
987,265.75,291.09
988,266.02,291.18
989,265.8,291.45
990,265.79,291.59
991,265.97,291.41
992,266.25,291.46
993,266.06,291.59
994,265.84,292.04
995,265.84,292.22
996,266.21,291.5
997,266.07,291.55
998,266.16,291.41
999,266.3,291.73
1000,265.8,291.64
1001,265.57,291.23
1002,266.02,291.91
1003,266.16,291.68
1004,266.02,292.04
1005,265.98,292.09
1006,266.11,291.72
1007,266.16,292.04
1008,265.93,292.09
1009,266.02,291.95
1010,266.29,291.82
1011,266.2,291.81
1012,265.93,292.04
1013,265.44,292.63
