sample,left_foot,right_foot
821,7.27,431.4
822,8.22,431.95
823,6.34,431.29
824,7.27,429.18
825,8.03,426.55
826,8.41,425.69
827,8.41,425.9
828,8.22,426.98
829,9.36,426.81
830,9.66,430.13
831,8.41,430.67
832,9.47,432.03
833,9.28,433.61
834,9.47,435.08
835,9.47,436.18
836,8.41,436.91
837,10.23,436.79
838,10.23,434.86
839,9.47,433.73
840,10.42,434.79
841,9.29,435.08
842,10.66,436.1
843,11.6,436.41
844,11.41,436.54
845,11.42,438.81
846,10.47,436.33
847,10.66,437.76
848,11.6,438.21
849,11.6,438.04
850,11.66,440.86
851,12.61,439.89
852,13.59,438.0
853,13.89,438.03
854,14.99,438.46
855,15.18,438.79
856,15.51,437.65
857,16.07,435.96
858,15.7,436.91
859,15.88,438.24
860,15.9,435.71
861,16.26,435.53
862,16.64,435.41
863,16.27,434.95
864,16.64,433.97
865,17.01,435.64
866,16.82,434.45
867,17.94,433.78
868,17.01,430.88
869,17.16,432.92
870,17.16,430.46
871,18.46,431.26
872,18.64,429.01
873,23.98,428.97
874,23.77,429.09
875,26.03,430.43
876,27.53,428.24
877,29.01,429.44
878,30.58,428.45
879,31.52,428.94
880,33.53,428.8
881,33.69,428.33
882,35.39,426.75
883,36.83,425.7
884,38.8,425.51
885,41.68,425.02
886,43.82,422.4
887,45.25,421.76
888,46.8,422.38
889,48.56,419.89
890,51.22,420.15
891,53.15,416.54
892,56.9,417.35
893,58.36,416.6
894,62.46,414.99
895,64.15,414.01
896,69.29,411.65
897,69.03,410.58
898,72.73,411.49
899,74.78,408.07
900,77.14,408.93
901,79.35,406.26
902,81.96,404.42
903,81.73,401.93
904,87.19,402.41
905,91.03,399.42
906,92.49,399.12
907,97.86,395.95
908,98.75,395.1
909,102.89,392.46
910,105.3,390.7
911,106.93,387.69
912,108.25,384.94
913,110.95,383.51
914,112.61,382.18
915,113.09,378.97
916,114.12,376.26
917,116.69,374.9
918,117.64,371.09
919,118.54,366.59
920,119.84,365.36
921,121.36,362.73
922,122.68,358.14
923,124.27,354.27
924,127.01,352.75
925,127.61,349.15
926,130.27,346.25
927,132.59,343.3
928,132.97,339.44
929,135.42,339.07
930,135.41,336.29
931,137.07,334.97
932,138.86,332.85
933,139.65,332.24
934,140.96,327.78
935,141.5,326.26
936,143.48,324.38
937,145.47,322.26
938,145.92,320.96
939,147.6,318.86
940,148.99,316.78
941,150.27,315.19
942,151.31,313.39
943,154.38,311.14
944,155.67,310.11
945,157.77,308.45
946,158.92,306.53
947,159.57,304.91
948,163.14,304.4
949,164.73,300.37
950,165.31,299.44
951,168.14,297.99
952,170.41,298.95
953,171.19,293.65
954,173.76,293.99
955,175.26,290.99
956,175.63,289.8
957,177.22,285.95
958,179.86,285.84
959,181.38,284.2
960,184.36,284.26
961,184.15,281.81
962,186.87,281.11
963,188.59,279.18
964,189.98,279.06
965,191.63,277.61
966,195.69,276.25
967,196.85,274.3
968,200.67,272.24
969,202.09,271.55
970,204.76,269.5
971,205.5,265.8
972,209.12,265.29
973,211.98,262.36
974,212.22,260.5
975,214.65,256.88
976,217.76,255.07
977,219.89,252.96
978,219.0,250.71
979,221.98,247.84
980,226.07,244.41
981,226.65,241.54
982,229.39,241.59
983,229.48,239.07
984,233.47,236.97
985,234.48,236.33
986,236.95,233.65
987,238.56,230.19
988,242.41,229.35
989,244.71,224.9
990,244.38,223.42
991,247.11,221.68
992,252.1,217.77
993,252.06,214.71
994,253.91,211.9
995,255.83,211.36
996,259.46,205.71
997,262.11,203.36
998,263.62,201.4
999,267.65,199.88
1000,269.08,197.16
1001,274.47,195.84
1002,277.91,193.98
1003,279.57,192.4
1004,283.32,189.44
1005,285.17,187.99
1006,288.72,187.61
1007,291.64,183.58
1008,293.03,181.21
1009,295.7,179.1
1010,299.34,175.9
1011,300.26,174.53
1012,303.47,170.18
1013,306.47,164.96
1014,307.99,161.37
1015,312.58,159.73
1016,315.48,152.08
1017,314.87,151.1
1018,320.45,145.59
1019,323.44,140.45
1020,323.95,136.21
1021,324.18,129.64
1022,325.35,126.53
1023,327.06,121.67
1024,328.19,117.25
1025,330.23,109.72
1026,332.19,104.65
1027,334.96,99.93
1028,336.88,95.3
1029,338.1,89.81
1030,340.46,87.54
1031,341.55,80.36
1032,342.54,77.67
1033,343.12,72.56
1034,345.01,65.44
1035,344.6,64.74
1036,344.22,62.2
1037,344.35,58.69
1038,344.53,56.77
1039,345.95,54.36
1040,345.67,50.39
1041,344.41,51.05
1042,344.75,48.52
1043,345.38,48.81
1044,346.21,46.07
1045,345.92,44.28
1046,347.51,42.31
1047,347.01,41.02
1048,347.71,38.23
1049,349.26,37.68
1050,348.56,37.67
1051,345.94,37.11
1052,346.5,33.74
1053,344.53,33.75
1054,344.46,30.46
1055,345.11,30.28
1056,344.54,29.89
1057,346.75,30.27
1058,345.46,30.09
1059,346.87,29.9
1060,346.32,30.09
1061,347.5,29.71
1062,350.52,29.32
1063,351.24,29.13
1064,350.62,28.03
1065,353.89,27.84
1066,354.01,27.28
1067,354.51,27.27
1068,354.03,27.46
1069,355.2,27.47
1070,355.14,27.65
1071,355.38,27.65
1072,353.85,28.04
1073,354.68,27.65
1074,353.85,28.22
1075,353.83,27.85
1076,357.22,28.38
1077,356.59,28.39
1078,359.11,28.39
1079,360.73,28.2
1080,363.86,28.58
1081,364.03,28.38
1082,367.05,29.32
1083,365.65,29.51
1084,365.96,28.07
1085,366.71,28.23
1086,366.08,26.61
1087,367.28,27.27
1088,366.72,26.21
1089,366.53,25.02
1090,365.33,25.87
1091,366.48,26.21
1092,367.49,24.64
1093,371.58,24.78
1094,370.37,24.83
1095,370.93,24.44
1096,374.05,24.98
1097,373.66,25.64
1098,377.7,24.44
1099,378.36,24.26
1100,381.48,24.07
1101,381.46,22.95
1102,382.39,22.96
1103,381.83,22.41
1104,382.81,21.84
1105,382.33,22.02
1106,381.56,21.84
1107,382.24,21.46
1108,383.81,21.46
1109,382.5,21.46
1110,384.86,21.46
1111,383.69,21.26
1112,386.37,21.46
1113,388.34,20.34
1114,387.74,21.27
1115,388.58,21.08
1116,390.29,21.26
1117,392.16,21.08
1118,393.29,19.76
1119,393.52,20.5
1120,395.06,20.5
1121,393.1,20.31
1122,393.79,20.33
1123,396.96,19.16
1124,395.56,19.16
1125,393.71,18.99
1126,395.62,18.99
1127,393.36,18.23
1128,393.08,17.5
1129,393.48,18.8
1130,393.06,18.81
1131,392.45,18.26
1132,393.71,19.14
1133,394.52,18.62
1134,395.16,18.96
1135,397.41,17.83
1136,395.74,17.82
1137,396.54,17.39
1138,393.79,18.81
1139,394.95,18.62
1140,390.58,17.63
1141,393.87,17.63
1142,392.69,17.25
1143,393.04,16.69
1144,389.7,18.81
1145,389.16,17.63
1146,387.86,18.62
1147,387.57,18.62
1148,385.82,18.81
1149,386.73,19.0
1150,386.46,19.19
1151,385.04,19.56
1152,387.63,19.75
1153,386.14,20.53
1154,386.08,20.69
1155,386.14,20.84
1156,384.18,21.03
1157,383.91,21.08
1158,381.74,21.83
1159,381.73,21.6
1160,380.48,21.64
1161,379.39,21.26
1162,377.65,22.58
1163,377.1,22.39
1164,376.22,21.64
1165,375.2,22.58
1166,373.29,22.91
1167,374.82,22.97
1168,372.18,24.6
1169,370.0,24.8
1170,369.63,26.05
1171,368.96,26.61
1172,367.23,28.4
1173,366.53,28.78
1174,365.97,28.97
1175,362.41,29.73
1176,359.99,30.29
1177,359.01,31.67
1178,358.17,30.83
1179,356.08,32.73
1180,354.02,34.69
1181,354.93,34.27
1182,349.28,36.75
1183,348.27,36.94
1184,345.4,38.86
1185,341.62,39.49
1186,343.48,40.06
1187,341.05,41.32
1188,338.24,41.49
1189,341.3,42.26
1190,336.52,43.4
1191,334.23,43.57
1192,332.6,44.33
1193,332.6,45.67
1194,331.24,46.43
1195,329.5,47.57
1196,325.75,49.66
1197,326.69,50.43
1198,322.86,54.18
1199,320.92,55.72
1200,319.72,56.25
1201,317.33,60.69
1202,317.46,60.37
1203,315.92,63.62
1204,314.84,64.16
1205,312.58,64.75
1206,310.65,65.62
1207,309.87,68.85
1208,307.16,71.34
1209,305.02,74.21
1210,303.18,77.35
1211,301.26,77.92
1212,299.57,79.61
1213,298.81,83.36
1214,294.42,87.24
1215,293.98,88.21
1216,291.83,89.56
1217,290.22,91.13
1218,288.27,94.98
1219,285.16,97.39
1220,285.26,101.77
1221,283.38,101.95
1222,279.92,104.18
1223,278.24,107.95
1224,276.74,108.35
1225,275.1,111.24
1226,272.2,115.06
1227,269.36,117.13
1228,266.38,120.88
1229,263.89,122.95
1230,260.07,125.35
1231,258.63,130.55
1232,256.47,134.9
1233,254.12,135.65
1234,252.74,139.78
1235,248.63,144.14
1236,247.98,146.38
1237,245.82,148.17
1238,244.85,151.5
1239,242.62,156.41
1240,242.85,154.62
1241,239.93,159.56
1242,235.34,161.04
1243,234.29,163.97
1244,230.2,166.0
1245,228.43,169.78
1246,225.37,173.42
1247,222.5,175.07
1248,219.42,178.53
1249,216.54,182.07
1250,213.53,184.18
1251,212.15,186.14
1252,208.72,188.7
1253,207.42,192.24
1254,206.4,195.23
1255,204.09,198.25
1256,202.62,196.67
1257,200.58,198.39
1258,197.02,201.3
1259,193.77,206.88
1260,191.2,209.2
1261,189.39,209.92
1262,187.38,212.46
1263,183.36,215.03
1264,177.12,218.23
1265,172.63,221.0
1266,164.39,225.82
1267,159.15,225.26
1268,153.39,227.93
1269,149.02,230.78
1270,145.43,235.13
1271,138.34,236.42
1272,135.94,239.88
1273,135.38,242.57
1274,131.41,244.7
1275,127.3,247.26
1276,125.61,249.26
1277,122.68,252.28
1278,118.3,253.44
1279,115.92,254.99
1280,108.97,257.07
1281,105.1,260.39
1282,99.06,260.94
1283,93.84,266.91
1284,90.04,270.5
1285,85.75,272.76
1286,82.04,275.07
1287,79.61,277.78
1288,78.12,281.47
1289,75.43,286.73
1290,75.28,288.92
1291,74.33,293.52
1292,74.14,298.91
1293,72.45,302.33
1294,71.01,306.86
1295,68.67,309.72
1296,68.32,312.56
1297,67.61,317.85
1298,67.01,323.62
1299,66.46,327.54
1300,65.71,330.39
1301,64.6,332.11
1302,64.61,335.87
1303,64.25,339.27
1304,64.04,340.49
1305,65.01,342.45
1306,64.42,345.02
1307,66.34,347.32
1308,67.96,347.33
1309,70.2,349.77
1310,70.12,349.01
1311,74.49,350.63
1312,77.62,352.06
1313,80.58,352.08
1314,82.22,354.24
1315,84.06,355.61
1316,86.19,355.45
1317,85.39,356.23
1318,87.66,354.72
1319,89.39,355.91
1320,88.4,356.03
1321,89.96,355.65
1322,89.92,355.71
1323,90.91,356.49
1324,91.06,356.91
1325,90.9,355.46
1326,89.13,355.04
1327,91.08,354.95
1328,89.38,355.13
1329,88.01,351.55
1330,86.72,351.06
1331,85.19,350.25
1332,83.53,348.41
1333,81.01,348.59
1334,78.03,346.65
1335,77.86,344.44
1336,74.57,343.91
1337,73.66,341.17
1338,70.13,341.13
1339,67.55,339.65
1340,65.04,340.18
1341,62.34,339.7
1342,59.49,341.82
1343,57.67,342.04
1344,55.09,342.1
1345,51.63,341.72
1346,48.98,343.35
1347,46.56,344.22
1348,43.47,345.36
1349,41.37,345.63
1350,38.8,346.81
1351,39.1,348.43
1352,34.61,349.98
1353,32.78,353.1
1354,29.82,355.5
1355,29.98,358.26
1356,28.37,360.98
1357,25.93,364.99
1358,23.33,371.8
